Feature,Importance
min_intensity std_intensity,0.08404856706629443
secondary_peak_1_intensity,0.07445642550475194
secondary_peak_1_position,0.061532758510675335
min_intensity median_intensity,0.053899706614201105
skewness secondary_peak_3_fwhm,0.021149075047927565
kurtosis main_peak_fwhm,0.01933628319881913
integral intensity_ratio_2,0.014094545623307898
integral main_peak_fwhm,0.01293815173139057
std_intensity main_peak_position,0.011653292755389962
min_intensity position_ratio_1,0.010665032041900266
main_peak_position secondary_peak_1_intensity,0.010108562326944246
secondary_peak_1_intensity secondary_peak_3_position,0.010046154457583507
mean_intensity secondary_peak_1_fwhm,0.010002350598636928
secondary_peak_3_fwhm peak_area_3,0.009387185542874448
secondary_peak_1_fwhm peak_area_1,0.009044680754787234
peak_symmetry position_ratio_2,0.008318328689350493
skewness main_peak_position,0.008001891522992171
secondary_peak_2_intensity intensity_ratio_2,0.00795081565250107
skewness position_ratio_1,0.00777567781409442
kurtosis intensity_ratio_2,0.007773985675646581
secondary_peak_3_position peak_area_3,0.007110789473434782
secondary_peak_2_intensity peak_area_3,0.006928887026961
integral intensity_ratio_1,0.006774817507192594
integral secondary_peak_1_intensity,0.006727197593753248
peak_symmetry intensity_ratio_2,0.006708654149880339
mean_intensity secondary_peak_2_position,0.006661088825161317
min_intensity secondary_peak_2_fwhm,0.006571173383128807
secondary_peak_2_position secondary_peak_2_intensity,0.006491073159633154
skewness secondary_peak_1_intensity,0.006284750813581721
std_intensity intensity_ratio_2,0.006277860369794215
main_peak_position,0.0062529160120500206
secondary_peak_1_position secondary_peak_3_fwhm,0.006193749854736636
mean_intensity secondary_peak_3_fwhm,0.006134558016082993
median_intensity peak_symmetry,0.0061100921375098725
mean_intensity position_ratio_1,0.006092792203660324
skewness peak_area_2,0.005930946032940072
main_peak_position position_ratio_1,0.005825815083361797
main_peak_fwhm peak_area_1,0.0058059464228634216
position_ratio_1 intensity_ratio_1,0.005540020337000187
secondary_peak_3_position intensity_ratio_1,0.005467466006976116
integral secondary_peak_2_intensity,0.005382719019587557
peak_area_3,0.005335561434585023
skewness peak_area_3,0.005028277112837345
main_peak_fwhm,0.00500563304358678
min_intensity integral,0.004896295042409491
min_intensity secondary_peak_2_intensity,0.004807819504936049
peak_symmetry secondary_peak_3_position,0.0046039019668589806
intensity_ratio_2,0.004538201204057263
